ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log
U36,DNA,SDN28,BDNCU1,10,BDNCU1-10,NA,collected,N,NA,NA
U37,DNA,SDN35,BDNSO1,13,BDNSO1-13,NA,collected,N,NA,NA
U38,DNA,SDN36,BDNSO1,14,BDNSO1-14,NA,collected,N,NA,NA
U40,DNA,SDN45,BDNSO1,21,BDNSO1-21,NA,collected,N,NA,NA
U41,DNA,SDN29,BDNCU1,9,BDNCU1-9,NA,collected,N,NA,NA
U42,DNA,SDN30,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U43,DNA,SDN31,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U45,DNA,SDN38,BDNSO1,11,BDNSO1-11,NA,collected,N,NA,NA
U46,DNA,SDN39,BDNSO1,15,BDNSO1-15,NA,collected,N,NA,NA
U47,DNA,SDN46,BDNSO1,18,BDNSO1-18,NA,collected,N,NA,NA
U48,DNA,SDN47,BDNSO1,23,BDNSO1-23,NA,collected,N,NA,NA
U49,DNA,SDN48,BDNSO1,28,BDNSO1-28,NA,collected,N,NA,NA
U50,DNA,SDN49,BDNSO1,29,BDNSO1-29,NA,collected,N,NA,NA
U51,DNA,SDN50,BDNSO1,24,BDNSO1-24,NA,collected,N,NA,NA
U52,DNA,SDN51,BDNSO1,26,BDNSO1-26,NA,collected,N,NA,NA
U53,DNA,SDN54,BDNSO1,33,BDNSO1-33,NA,collected,N,NA,NA
U54,DNA,SDN55,BDNSO1,34,BDNSO1-34,NA,collected,N,NA,NA
U55,DNA,SDN64,BDNSO1,38,BDNSO1-38,NA,collected,N,NA,NA
U56,DNA,SDN65,BDNSO1,39,BDNSO1-39,NA,collected,N,NA,NA
U57,DNA,SDN66,BDNSO1,43,BDNSO1-43,NA,collected,N,NA,NA
U58,DNA,SDN67,BDNSO1,48,BDNSO1-48,NA,collected,N,NA,NA
U59,DNA,SDN74,BDNSO1,52,BDNSO1-52,NA,collected,N,NA,NA
U60,DNA,SDN68,BDNSO1,55,BDNSO1-55,NA,collected,N,NA,NA
U61,DNA,SDN52,BDNSO1,27,BDNSO1-27,NA,collected,N,NA,NA
U62,DNA,SDN53,BDNSO1,30,BDNSO1-30,NA,collected,N,NA,NA
U63,DNA,SDN56,BDNSO1,35,BDNSO1-35,NA,collected,N,NA,NA
U65,DNA,SDN70,BDNSO1,41,BDNSO1-41,NA,collected,N,NA,NA
U66,DNA,SDN71,BDNSO1,42,BDNSO1-42,NA,collected,N,NA,NA
U68,DNA,SDN76,BDNSO1,50,BDNSO1-50,NA,collected,N,NA,NA
U69,DNA,SDN77,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U70,DNA,SDN78,BDNSO1,54,BDNSO1-54,NA,collected,N,NA,NA
U71,DNA,SDN57,BDNSO1,31,BDNSO1-31,NA,collected,N,NA,NA
U72,DNA,SDN58,BDNSO1,32,BDNSO1-32,NA,collected,N,NA,NA
U73,DNA,SDN59,BDNSO1,36,BDNSO1-36,NA,collected,N,NA,NA
U74,DNA,SDN72,BDNSO1,37,BDNSO1-37,NA,collected,N,NA,NA
U75,DNA,SDN73,BDNSO1,40,BDNSO1-40,NA,collected,N,NA,NA
U76,DNA,SDN79,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U77,DNA,SDN80,BDNSO1,47,BDNSO1-47,NA,collected,N,NA,NA
U78,DNA,SDN81,BDNSO1,53,BDNSO1-53,NA,collected,N,NA,NA
U79,DNA,SDN82,BDNSO1,56,BDNSO1-56,NA,collected,N,NA,NA
U80,DNA,SDN83,BDNSO1,61,BDNSO1-61,NA,collected,N,NA,NA
U81,DNA,SDN84,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U82,DNA,SDN87,BDNSO1,63,BDNSO1-63,NA,collected,N,NA,NA
U83,DNA,SDN88,BDNSO1,64,BDNSO1-64,NA,collected,N,NA,NA
U84,DNA,SDN89,BDNSO1,65,BDNSO1-65,NA,collected,N,NA,NA
U85,DNA,SDN90,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U86,DNA,SDN99,BDNSO1,70,BDNSO1-70,NA,collected,N,NA,NA
U87,DNA,SDN100,BDNSO1,71,BDNSO1-71,NA,collected,N,NA,NA
U88,DNA,SDN101,BDNSO1,72,BDNSO1-72,NA,collected,N,NA,NA
U89,DNA,SDN102,BDNSO1,74,BDNSO1-74,NA,collected,N,NA,NA
U90,DNA,SDN103,BDNSO1,76,BDNSO1-76,NA,collected,N,NA,NA
U91,DNA,SDN85,BDNSO1,57,BDNSO1-57,NA,collected,N,NA,NA
U92,DNA,SDN86,BDNSO1,60,BDNSO1-60,NA,collected,N,NA,NA
U96,DNA,SDN94,BDNSO1,66,BDNSO1-66,NA,collected,N,NA,NA
U97,DNA,SDN95,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U98,DNA,SDN96,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U99,DNA,SDN123,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U100,DNA,SDN120,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U101,DNA,SDN60,BDNSO1,58,BDNSO1-58,NA,collected,N,NA,NA
U102,DNA,SDN61,BDNSO1,59,BDNSO1-59,NA,collected,N,NA,NA
U103,DNA,SDN62,BDNSO1,62,BDNSO1-62,NA,collected,N,NA,NA
U104,DNA,SDN104,BDNSO1,77,BDNSO1-77,NA,collected,N,NA,NA
U105,DNA,SDN105,BDNSO1,80,BDNSO1-80,NA,collected,N,NA,NA
U106,DNA,SDN106,BDNSO1,82,BDNSO1-82,NA,collected,N,NA,NA
U107,DNA,SDN107,BDNSO1,85,BDNSO1-85,NA,collected,N,NA,NA
U108,DNA,SDN108,BDNSO1,87,BDNSO1-87,NA,collected,N,NA,NA
U109,DNA,SDN116,BDNSO1,90,BDNSO1-90,NA,collected,N,NA,NA
U110,DNA,SDN121,BDNCU1,22,BDNCU1-22,NA,collected,N,NA,NA
U111,DNA,SDN97,BDNSO1,73,BDNSO1-73,NA,collected,N,NA,NA
U112,DNA,SDN98,BDNSO1,75,BDNSO1-75,NA,collected,N,NA,NA
U113,DNA,SDN109,BDNSO1,78,BDNSO1-78,NA,collected,N,NA,NA
U114,DNA,SDN110,BDNSO1,81,BDNSO1-81,NA,collected,N,NA,NA
U115,DNA,SDN111,BDNSO1,83,BDNSO1-83,NA,collected,N,NA,NA
U116,DNA,SDN112,BDNSO1,86,BDNSO1-86,NA,collected,N,NA,NA
U117,DNA,SDN117,BDNSO1,89,BDNSO1-89,NA,collected,N,NA,NA
U118,DNA,SDN118,BDNSO1,92,BDNSO1-92,NA,collected,N,NA,NA
U119,DNA,SDN122,BDNSO1,94,BDNSO1-94,NA,collected,N,NA,NA
U120,DNA,SDN124,BDNSO1,98,BDNSO1-98,NA,collected,N,NA,NA
U121,DNA,SDN113,BDNSO1,79,BDNSO1-79,NA,collected,N,NA,NA
U122,DNA,SDN114,BDNSO1,84,BDNSO1-84,NA,collected,N,NA,NA
U123,DNA,SDN115,BDNSO1,88,BDNSO1-88,NA,collected,N,NA,NA
U124,DNA,SDN119,BDNSO1,91,BDNSO1-91,NA,collected,N,NA,NA
U125,DNA,SDN132,BDNSO2,5,BDNSO2-5,NA,collected,N,NA,NA
U126,DNA,SDN169,BDNSO2,35,BDNSO2-35,NA,collected,N,NA,NA
U127,DNA,SDN204,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U128,DNA,SDN221,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U129,DNA,SDN247,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U130,DNA,SDN275,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U131,DNA,SDN133,BDNCU1,21,BDNCU1-21,NA,collected,N,NA,NA
U132,DNA,SDN134,BDNCO1,9,BDNCO1-9,NA,collected,N,NA,NA
U133,DNA,SDN146,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U134,DNA,SDN147,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U135,DNA,SDN148,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U136,DNA,SDN149,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U137,DNA,SDN150,BDNSO2,21,BDNSO2-21,NA,collected,N,NA,NA
U138,DNA,SDN151,BDNSO2,22,BDNSO2-22,NA,collected,N,NA,NA
U139,DNA,SDN157,BDNSO2,30,BDNSO2-30,NA,collected,N,NA,NA
U140,DNA,SDN158,BDNSO2,31,BDNSO2-31,NA,collected,N,NA,NA
U141,DNA,SDN125,BDNSO1,99,BDNSO1-99,NA,collected,N,NA,NA
U142,DNA,SDN126,BDNSO1,97,BDNSO1-97,NA,collected,N,NA,NA
U143,DNA,SDN127,BDNSO2,1,BDNSO2-1,NA,collected,N,NA,NA
U144,DNA,SDN128,BDNSO2,2,BDNSO2-2,NA,collected,N,NA,NA
U145,DNA,SDN135,BDNSO2,6,BDNSO2-6,NA,collected,N,NA,NA
U146,DNA,SDN136,BDNSO2,7,BDNSO2-7,NA,collected,N,NA,NA
U147,DNA,SDN137,BDNCO1,4,BDNCO1-4,NA,collected,N,NA,NA
U148,DNA,SDN138,BDNCO1,5,BDNCO1-5,NA,collected,N,NA,NA
U149,DNA,SDN139,BDNCO1,7,BDNCO1-7,NA,collected,N,NA,NA
U150,DNA,SDN140,BDNCO1,8,BDNCO1-8,NA,collected,N,NA,NA
U151,DNA,SDN129,BDNSO1,100,BDNSO1-100,NA,collected,N,NA,NA
U152,DNA,SDN130,BDNSO2,3,BDNSO2-3,NA,collected,N,NA,NA
U153,DNA,SDN131,BDNSO2,4,BDNSO2-4,NA,collected,N,NA,NA
U154,DNA,SDN141,BDNSO2,8,BDNSO2-8,NA,collected,N,NA,NA
U155,DNA,SDN142,BDNSO2,9,BDNSO2-9,NA,collected,N,NA,NA
U156,DNA,SDN143,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U157,DNA,SDN144,BDNCO1,6,BDNCO1-6,NA,collected,N,NA,NA
U158,DNA,SDN145,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U159,DNA,SDN152,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U160,DNA,SDN153,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U161,DNA,SDN154,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U162,DNA,SDN155,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U163,DNA,SDN159,BDNSO2,23,BDNSO2-23,NA,collected,N,NA,NA
U164,DNA,SDN160,BDNSO2,25,BDNSO2-25,NA,collected,N,NA,NA
U165,DNA,SDN161,BDNSO2,26,BDNSO2-26,NA,collected,N,NA,NA
U166,DNA,SDN162,BDNSO2,29,BDNSO2-29,NA,collected,N,NA,NA
U167,DNA,SDN170,BDNSO2,37,BDNSO2-37,NA,collected,N,NA,NA
U168,DNA,SDN171,BDNSO2,38,BDNSO2-38,NA,collected,N,NA,NA
U169,DNA,SDN172,BDNSO2,42,BDNSO2-42,NA,collected,N,NA,NA
U170,DNA,SDN173,BDNSO2,45,BDNSO2-45,NA,collected,N,NA,NA
U171,DNA,SDN156,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U172,DNA,SDN163,BDNSO2,24,BDNSO2-24,NA,collected,N,NA,NA
U174,DNA,SDN165,BDNSO2,28,BDNSO2-28,NA,collected,N,NA,NA
U175,DNA,SDN174,BDNSO2,36,BDNSO2-36,NA,collected,N,NA,NA
U176,DNA,SDN175,BDNSO2,39,BDNSO2-39,NA,collected,N,NA,NA
U177,DNA,SDN176,BDNSO2,43,BDNSO2-43,NA,collected,N,NA,NA
U178,DNA,SDN177,BDNSO2,46,BDNSO2-46,NA,collected,N,NA,NA
U179,DNA,SDN178,BDNSO2,47,BDNSO2-47,NA,collected,N,NA,NA
U180,DNA,SDN186,BDNSO2,49,BDNSO2-49,NA,collected,N,NA,NA
U181,DNA,SDN166,BDNSO2,32,BDNSO2-32,NA,collected,N,NA,NA
U182,DNA,SDN167,BDNSO2,33,BDNSO2-33,NA,collected,N,NA,NA
U183,DNA,SDN168,BDNSO2,34,BDNSO2-34,NA,collected,N,NA,NA
U184,DNA,SDN179,BDNSO2,40,BDNSO2-40,NA,collected,N,NA,NA
U185,DNA,SDN180,BDNSO2,41,BDNSO2-41,NA,collected,N,NA,NA
U186,DNA,SDN181,BDNSO2,44,BDNSO2-44,NA,collected,N,NA,NA
U187,DNA,SDN182,BDNSO2,53,BDNSO2-53,NA,collected,N,NA,NA
U188,DNA,SDN183,BDNSO2,54,BDNSO2-54,NA,collected,N,NA,NA
U189,DNA,SDN184,BDNSO2,55,BDNSO2-55,NA,collected,N,NA,NA
U190,DNA,SDN195,BDNCU1,24,BDNCU1-24,NA,collected,N,NA,NA
U191,DNA,SDN185,BDNSO2,48,BDNSO2-48,NA,collected,N,NA,NA
U192,DNA,SDN187,BDNSO2,50,BDNSO2-50,NA,collected,N,NA,NA
U193,DNA,SDN188,BDNSO2,51,BDNSO2-51,NA,collected,N,NA,NA
U194,DNA,SDN189,BDNSO2,57,BDNSO2-57,NA,collected,N,NA,NA
U195,DNA,SDN190,BDNCO1,10,BDNCO1-10,NA,collected,N,NA,NA
U196,DNA,SDN196,BDNCU1,23,BDNCU1-23,NA,collected,N,NA,NA
U197,DNA,SDN197,BDNSO2,59,BDNSO2-59,NA,collected,N,NA,NA
U198,DNA,SDN198,BDNCO1,15,BDNCO1-15,NA,collected,N,NA,NA
U199,DNA,SDN199,BDNCO1,16,BDNCO1-16,NA,collected,N,NA,NA
U200,DNA,SDN205,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U201,DNA,SDN191,BDNSO2,52,BDNSO2-52,NA,collected,N,NA,NA
U202,DNA,SDN192,BDNSO2,56,BDNSO2-56,NA,collected,N,NA,NA
U203,DNA,SDN193,BDNSO2,58,BDNSO2-58,NA,collected,N,NA,NA
U204,DNA,SDN194,BDNCO1,11,BDNCO1-11,NA,collected,N,NA,NA
U205,DNA,SDN200,BDNCO1,13,BDNCO1-13,NA,collected,N,NA,NA
U206,DNA,SDN201,BDNCO1,14,BDNCO1-14,NA,collected,N,NA,NA
U207,DNA,SDN206,BDNSO16,NA,BDNSO16-NA,Small sample taken,results received,N,NA,NA
U208,DNA,SDN207,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U209,DNA,SDN208,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U210,DNA,SDN209,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U211,DNA,SDN202,BDNCO1,12,BDNCO1-12,NA,collected,N,NA,NA
U212,DNA,SDN203,BDNCO1,17,BDNCO1-17,NA,collected,N,NA,NA
U213,DNA,SDN210,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U214,DNA,SDN211,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U215,DNA,SDN212,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U216,DNA,SDN213,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U217,DNA,SDN214,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U218,DNA,SDN222,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U219,DNA,SDN223,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U220,DNA,SDN224,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U221,DNA,SDN225,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U222,DNA,SDN226,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U223,DNA,SDN227,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U224,DNA,SDN248,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U225,DNA,SDN249,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U226,DNA,SDN250,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U227,DNA,SDN251,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U228,DNA,SDN252,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U229,DNA,SDN253,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U230,DNA,SDN264,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U231,DNA,SDN215,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U232,DNA,SDN216,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U233,DNA,SDN217,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U234,DNA,SDN218,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U235,DNA,SDN219,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U236,DNA,SDN228,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U237,DNA,SDN229,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U238,DNA,SDN230,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U239,DNA,SDN231,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U240,DNA,SDN232,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U241,DNA,SDN220,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U242,DNA,SDN233,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U243,DNA,SDN234,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U244,DNA,SDN235,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U245,DNA,SDN236,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U246,DNA,SDN237,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U247,DNA,SDN238,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U248,DNA,SDN239,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U249,DNA,SDN240,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U250,DNA,SDN241,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U251,DNA,SDN242,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U252,DNA,SDN243,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U253,DNA,SDN244,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U254,DNA,SDN245,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U255,DNA,SDN246,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U256,DNA,SDN254,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U257,DNA,SDN255,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U258,DNA,SDN256,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U259,DNA,SDN257,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U260,DNA,SDN258,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U261,DNA,SDN259,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U262,DNA,SDN260,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U263,DNA,SDN261,UNKNOWN,UNKNOWN,UNKNOWN,NA,collected,Y,location unknown,NA
U264,DNA,SDN262,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U265,DNA,SDN263,UNKNOWN,UNKNOWN,UNKNOWN,NA,collected,Y,location unknown,NA
U266,DNA,SDN276,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U267,DNA,SDN277,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U268,DNA,SDN278,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U269,DNA,SDN279,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U270,DNA,SDN280,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U271,DNA,SDN265,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U272,DNA,SDN266,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U273,DNA,SDN267,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U274,DNA,SDN268,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U275,DNA,SDN281,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U276,DNA,SDN282,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U277,DNA,SDN283,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U278,DNA,SDN284,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U279,DNA,SDN285,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U280,DNA,SDN292,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U281,DNA,SDN269,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U284,DNA,SDN272,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U285,DNA,SDN273,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U286,DNA,SDN274,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U287,DNA,SDN286,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U288,DNA,SDN287,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U289,DNA,SDN288,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U290,DNA,SDN289,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U291,DNA,SDN290,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U292,DNA,SDN293,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U293,DNA,SDN294,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U294,DNA,SDN295,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U295,DNA,SDN296,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U296,DNA,SDN297,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U297,DNA,SDN298,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U298,DNA,SDN308,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U299,DNA,SDN309,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U300,DNA,SDN310,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U301,DNA,SDN299,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U302,DNA,SDN300,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U303,DNA,SDN301,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U304,DNA,SDN302,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U305,DNA,SDN303,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U306,DNA,SDN311,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U307,DNA,SDN312,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U308,DNA,SDN313,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U309,DNA,SDN314,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U310,DNA,SDN315,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U311,DNA,SDN304,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U312,DNA,SDN305,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U313,DNA,SDN306,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U315,DNA,SDN307,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U316,DNA,SDN316,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U317,DNA,SDN317,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U318,DNA,SDN318,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U319,DNA,SDN319,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
U320,DNA,SDN320,BDNSO16,NA,BDNSO16-NA,NA,results received,N,NA,NA
