ufn,sample_type,sample_id,container_id,container_cell,sample_location,comments_sample,sample_status,sample_qc_flag,sample_flag_reason,sample_qc_log
U277,RNA,BRN1-D12,BRN1,D12,BRN1-D12,NA,being processed,N,NA,NA
U278,RNA,BRN1-C12,BRN1,C12,BRN1-C12,NA,being processed,N,NA,NA
U279,RNA,BRN1-B12,BRN1,B12,BRN1-B12,NA,being processed,N,NA,NA
U280,RNA,BRN1-A12,BRN1,A12,BRN1-A12,NA,being processed,N,NA,NA
U281,RNA,BRN1-C11,BRN1,C11,BRN1-C11,NA,being processed,N,NA,NA
U284,RNA,BRN1-F11,BRN1,F11,BRN1-F11,NA,being processed,N,NA,NA
U285,RNA,BRN1-G11,BRN1,G11,BRN1-G11,NA,being processed,N,NA,NA
U286,RNA,BRN1-H11,BRN1,H11,BRN1-H11,NA,being processed,N,NA,NA
U287,RNA,BRN2-A1,BRN2,A1,BRN2-A1,NA,collected,N,NA,NA
U288,RNA,BRN2-B1,BRN2,B1,BRN2-B1,NA,collected,N,NA,NA
U289,RNA,BRN2-C1,BRN2,C1,BRN2-C1,NA,collected,N,NA,NA
U290,RNA,BRN2-D1,BRN2,D1,BRN2-D1,NA,collected,N,NA,NA
U291,RNA,BRN2-E1,BRN2,E1,BRN2-E1,NA,collected,N,NA,NA
U292,RNA,BRN2-F1,BRN2,F1,BRN2-F1,NA,collected,N,NA,NA
U293,RNA,BRN2-G1,BRN2,G1,BRN2-G1,NA,collected,N,NA,NA
U294,RNA,BRN2-H1,BRN2,H1,BRN2-H1,NA,collected,N,NA,NA
U295,RNA,BRN2-A3,BRN2,A3,BRN2-A3,NA,collected,N,NA,NA
U296,RNA,BRN2-B3,BRN2,B3,BRN2-B3,NA,collected,N,NA,NA
U297,RNA,BRN2-C3,BRN2,C3,BRN2-C3,NA,collected,N,NA,NA
U298,RNA,BRN2-D3,BRN2,D3,BRN2-D3,NA,collected,N,NA,NA
U299,RNA,BRN2-E3,BRN2,E3,BRN2-E3,NA,collected,N,NA,NA
U300,RNA,BRN2-F3,BRN2,F3,BRN2-F3,NA,collected,N,NA,NA
U301,RNA,BRN2-H2,BRN2,H2,BRN2-H2,NA,collected,N,NA,NA
U302,RNA,BRN2-G2,BRN2,G2,BRN2-G2,NA,collected,N,NA,NA
U303,RNA,BRN2-F2,BRN2,F2,BRN2-F2,NA,collected,N,NA,NA
U304,RNA,BRN2-E2,BRN2,E2,BRN2-E2,NA,collected,N,NA,NA
U305,RNA,BRN2-D2,BRN2,D2,BRN2-D2,NA,collected,N,NA,NA
U306,RNA,BRN2-C2,BRN2,C2,BRN2-C2,NA,collected,N,NA,NA
U307,RNA,BRN2-B2,BRN2,B2,BRN2-B2,NA,collected,N,NA,NA
U308,RNA,BRN2-A2,BRN2,A2,BRN2-A2,NA,collected,N,NA,NA
U309,RNA,BRN2-H6,BRN2,H6,BRN2-H6,NA,collected,N,NA,NA
U310,RNA,BRN2-G6,BRN2,G6,BRN2-G6,NA,collected,N,NA,NA
U311,RNA,BRN1-D2,BRN1,D2,BRN1-D2,NA,being processed,N,NA,NA
U312,RNA,BRN1-C2,BRN1,C2,BRN1-C2,NA,being processed,N,NA,NA
U313,RNA,BRN1-B2,BRN1,B2,BRN1-B2,NA,being processed,N,NA,NA
U315,RNA,BRN2-H4,BRN2,H4,BRN2-H4,NA,collected,N,NA,NA
U316,RNA,BRN2-G4,BRN2,G4,BRN2-G4,NA,collected,N,NA,NA
U317,RNA,BRN2-F4,BRN2,F4,BRN2-F4,NA,collected,N,NA,NA
U318,RNA,BRN2-E4,BRN2,E4,BRN2-E4,NA,collected,N,NA,NA
U319,RNA,BRN2-D4,BRN2,D4,BRN2-D4,NA,collected,N,NA,NA
U320,RNA,BRN2-C4,BRN2,C4,BRN2-C4,NA,collected,N,NA,NA
U321,RNA,BRN2-H5,BRN2,H5,BRN2-H5,NA,collected,N,NA,NA
U322,RNA,BRN3-H5,BRN3,H5,BRN3-H5,NA,collected,N,NA,NA
U323,RNA,BRN3-G5,BRN3,G5,BRN3-G5,NA,collected,N,NA,NA
U324,RNA,BRN3-F5,BRN3,F5,BRN3-F5,NA,collected,N,NA,NA
U325,RNA,BRN3-E5,BRN3,E5,BRN3-E5,NA,collected,N,NA,NA
U326,RNA,BRN3-D5,BRN3,D5,BRN3-D5,NA,collected,N,NA,NA
U327,RNA,BRN3-C5,BRN3,C5,BRN3-C5,NA,collected,N,NA,NA
U328,RNA,BRN3-B5,BRN3,B5,BRN3-B5,NA,collected,N,NA,NA
U329,RNA,BRN5-G1,BRN5,G1,BRN5-G1,NA,collected,N,NA,NA
U330,RNA,BRN5-F1,BRN5,F1,BRN5-F1,NA,collected,N,NA,NA
U331,RNA,BRN2-G3,BRN2,G3,BRN2-G3,NA,collected,N,NA,NA
U332,RNA,BRN2-H3,BRN2,H3,BRN2-H3,NA,collected,N,NA,NA
U333,RNA,BRN2-A7,BRN2,A7,BRN2-A7,NA,collected,N,NA,NA
U334,RNA,BRN2-B7,BRN2,B7,BRN2-B7,NA,collected,N,NA,NA
U335,RNA,BRN2-C7,BRN2,C7,BRN2-C7,NA,collected,N,NA,NA
U336,RNA,BRN2-D7,BRN2,D7,BRN2-D7,NA,collected,N,NA,NA
U337,RNA,BRN2-E7,BRN2,E7,BRN2-E7,NA,collected,N,NA,NA
U338,RNA,BRN2-F7,BRN2,F7,BRN2-F7,NA,collected,N,NA,NA
U339,RNA,BRN2-G7,BRN2,G7,BRN2-G7,NA,collected,N,NA,NA
U340,RNA,BRN2-H7,BRN2,H7,BRN2-H7,NA,collected,N,NA,NA
U341,RNA,BRN2-F6,BRN2,F6,BRN2-F6,NA,collected,N,NA,NA
U342,RNA,BRN2-E6,BRN2,E6,BRN2-E6,NA,collected,N,NA,NA
U343,RNA,BRN2-D6,BRN2,D6,BRN2-D6,NA,collected,N,NA,NA
U344,RNA,BRN2-C6,BRN2,C6,BRN2-C6,NA,collected,N,NA,NA
U345,RNA,BRN2-B6,BRN2,B6,BRN2-B6,NA,collected,N,NA,NA
U346,RNA,BRN2-A6,BRN2,A6,BRN2-A6,NA,collected,N,NA,NA
U347,RNA,BRN2-H9,BRN2,H9,BRN2-H9,NA,collected,N,NA,NA
U348,RNA,BRN2-G9,BRN2,G9,BRN2-G9,NA,collected,N,NA,NA
U349,RNA,BRN2-F9,BRN2,F9,BRN2-F9,NA,collected,N,NA,NA
U350,RNA,BRN2-E9,BRN2,E9,BRN2-E9,NA,collected,N,NA,NA
U351,RNA,BRN2-B4,BRN2,B4,BRN2-B4,NA,collected,N,NA,NA
U352,RNA,BRN2-A4,BRN2,A4,BRN2-A4,NA,collected,N,NA,NA
U353,RNA,BRN2-H8,BRN2,H8,BRN2-H8,NA,collected,N,NA,NA
U354,RNA,BRN2-G8,BRN2,G8,BRN2-G8,NA,collected,N,NA,NA
U355,RNA,BRN2-F8,BRN2,F8,BRN2-F8,NA,collected,N,NA,NA
U356,RNA,BRN2-E8,BRN2,E8,BRN2-E8,NA,collected,N,NA,NA
U357,RNA,BRN2-D8,BRN2,D8,BRN2-D8,NA,collected,N,NA,NA
U358,RNA,BRN2-C8,BRN2,C8,BRN2-C8,NA,collected,N,NA,NA
U359,RNA,BRN2-B8,BRN2,B8,BRN2-B8,NA,collected,N,NA,NA
U360,RNA,BRN2-A8,BRN2,A8,BRN2-A8,NA,collected,N,NA,NA
U361,RNA,BRN2-A10,BRN2,A10,BRN2-A10,NA,collected,N,NA,NA
U362,RNA,BRN2-B10,BRN2,B10,BRN2-B10,NA,collected,N,NA,NA
U363,RNA,BRN2-C10,BRN2,C10,BRN2-C10,NA,collected,N,NA,NA
U364,RNA,BRN2-D10,BRN2,D10,BRN2-D10,NA,collected,N,NA,NA
U365,RNA,BRN2-E10,BRN2,E10,BRN2-E10,NA,collected,N,NA,NA
U366,RNA,BRN2-F10,BRN2,F10,BRN2-F10,NA,collected,N,NA,NA
U367,RNA,BRN2-G10,BRN2,G10,BRN2-G10,NA,collected,N,NA,NA
U368,RNA,BRN2-H10,BRN2,H10,BRN2-H10,NA,collected,N,NA,NA
U369,RNA,BRN2-A12,BRN2,A12,BRN2-A12,NA,collected,N,NA,NA
U370,RNA,BRN2-B12,BRN2,B12,BRN2-B12,NA,collected,N,NA,NA
U371,RNA,BRN2-D9,BRN2,D9,BRN2-D9,NA,collected,N,NA,NA
U372,RNA,BRN2-C9,BRN2,C9,BRN2-C9,NA,collected,N,NA,NA
U373,RNA,BRN2-B9,BRN2,B9,BRN2-B9,NA,collected,N,NA,NA
U374,RNA,BRN2-A9,BRN2,A9,BRN2-A9,NA,collected,N,NA,NA
U375,RNA,BRN2-G5,BRN2,G5,BRN2-G5,NA,collected,N,NA,NA
U376,RNA,BRN2-F5,BRN2,F5,BRN2-F5,NA,collected,N,NA,NA
U377,RNA,BRN2-E5,BRN2,E5,BRN2-E5,No heart taken (sample dropped),collected,N,NA,NA
U378,RNA,BRN2-D5,BRN2,D5,BRN2-D5,NA,collected,N,NA,NA
U379,RNA,BRN2-C5,BRN2,C5,BRN2-C5,NA,collected,N,NA,NA
U380,RNA,BRN2-B5,BRN2,B5,BRN2-B5,NA,collected,N,NA,NA
U381,RNA,BRN2-H11,BRN2,H11,BRN2-H11,NA,collected,N,NA,NA
U382,RNA,BRN2-G11,BRN2,G11,BRN2-G11,NA,collected,N,NA,NA
U383,RNA,BRN2-F11,BRN2,F11,BRN2-F11,NA,collected,N,NA,NA
U384,RNA,BRN2-E11,BRN2,E11,BRN2-E11,NA,collected,N,NA,NA
U385,RNA,BRN2-D11,BRN2,D11,BRN2-D11,NA,collected,N,NA,NA
U386,RNA,BRN2-C11,BRN2,C11,BRN2-C11,NA,collected,N,NA,NA
U387,RNA,BRN2-B11,BRN2,B11,BRN2-B11,NA,collected,N,NA,NA
U388,RNA,BRN2-A11,BRN2,A11,BRN2-A11,NA,collected,N,NA,NA
U389,RNA,BRN3-H2,BRN3,H2,BRN3-H2,Small kidney sample,collected,N,NA,NA
U390,RNA,BRN3-G2,BRN3,G2,BRN3-G2,NA,collected,N,NA,NA
U391,RNA,BRN2-C12,BRN2,C12,BRN2-C12,NA,collected,N,NA,NA
U392,RNA,BRN2-D12,BRN2,D12,BRN2-D12,NA,collected,N,NA,NA
U393,RNA,BRN2-E12,BRN2,E12,BRN2-E12,NA,collected,N,NA,NA
U394,RNA,BRN2-F12,BRN2,F12,BRN2-F12,NA,collected,N,NA,NA
U395,RNA,BRN2-G12,BRN2,G12,BRN2-G12,NA,collected,N,NA,NA
U396,RNA,BRN2-H12,BRN2,H12,BRN2-H12,NA,collected,N,NA,NA
U397,RNA,BRN3-A1,BRN3,A1,BRN3-A1,NA,collected,N,NA,NA
U398,RNA,BRN3-B1,BRN3,B1,BRN3-B1,NA,collected,N,NA,NA
U399,RNA,BRN3-C1,BRN3,C1,BRN3-C1,NA,collected,N,NA,NA
U400,RNA,BRN3-D1,BRN3,D1,BRN3-D1,NA,collected,N,NA,NA
U401,RNA,BRN2-A5,BRN2,A5,BRN2-A5,NA,collected,N,NA,NA
U402,RNA,BRN3-H8,BRN3,H8,BRN3-H8,NA,collected,N,NA,NA
U403,RNA,BRN3-G8,BRN3,G8,BRN3-G8,NA,collected,N,NA,NA
U404,RNA,BRN3-F8,BRN3,F8,BRN3-F8,NA,collected,N,NA,NA
U405,RNA,BRN3-E8,BRN3,E8,BRN3-E8,NA,collected,N,NA,NA
U406,RNA,BRN3-D8,BRN3,D8,BRN3-D8,NA,collected,N,NA,NA
U407,RNA,BRN3-C8,BRN3,C8,BRN3-C8,NA,collected,N,NA,NA
U408,RNA,BRN3-B8,BRN3,B8,BRN3-B8,NA,collected,N,NA,NA
U409,RNA,BRN3-A8,BRN3,A8,BRN3-A8,NA,collected,N,NA,NA
U410,RNA,BRN3-H11,BRN3,H11,BRN3-H11,NA,collected,N,NA,NA
U411,RNA,BRN3-F2,BRN3,F2,BRN3-F2,NA,collected,N,NA,NA
U412,RNA,BRN3-E2,BRN3,E2,BRN3-E2,NA,collected,N,NA,NA
U413,RNA,BRN3-D2,BRN3,D2,BRN3-D2,NA,collected,N,NA,NA
U414,RNA,BRN3-C2,BRN3,C2,BRN3-C2,NA,collected,N,NA,NA
U415,RNA,BRN3-B2,BRN3,B2,BRN3-B2,NA,collected,N,NA,NA
U416,RNA,BRN3-A2,BRN3,A2,BRN3-A2,NA,collected,N,NA,NA
U417,RNA,BRN3-H4,BRN3,H4,BRN3-H4,NA,collected,N,NA,NA
U418,RNA,BRN3-G4,BRN3,G4,BRN3-G4,NA,collected,N,NA,NA
U419,RNA,BRN3-F4,BRN3,F4,BRN3-F4,NA,collected,N,NA,NA
U420,RNA,BRN3-E4,BRN3,E4,BRN3-E4,NA,collected,N,NA,NA
U421,RNA,BRN3-E1,BRN3,E1,BRN3-E1,NA,collected,N,NA,NA
U422,RNA,BRN3-F1,BRN3,F1,BRN3-F1,NA,collected,N,NA,NA
U423,RNA,BRN3-G1,BRN3,G1,BRN3-G1,NA,collected,N,NA,NA
U424,RNA,BRN3-H1,BRN3,H1,BRN3-H1,NA,collected,N,NA,NA
U425,RNA,BRN3-A3,BRN3,A3,BRN3-A3,NA,collected,N,NA,NA
U426,RNA,BRN3-B3,BRN3,B3,BRN3-B3,NA,collected,N,NA,NA
U427,RNA,BRN3-C3,BRN3,C3,BRN3-C3,NA,collected,N,NA,NA
U428,RNA,BRN3-D3,BRN3,D3,BRN3-D3,NA,collected,N,NA,NA
U429,RNA,BRN3-E3,BRN3,E3,BRN3-E3,NA,collected,N,NA,NA
U430,RNA,BRN3-F3,BRN3,F3,BRN3-F3,NA,collected,N,NA,NA
U431,RNA,BRN3-D4,BRN3,D4,BRN3-D4,NA,collected,N,NA,NA
U432,RNA,BRN3-C4,BRN3,C4,BRN3-C4,NA,collected,N,NA,NA
U433,RNA,BRN3-B4,BRN3,B4,BRN3-B4,NA,collected,N,NA,NA
U434,RNA,BRN3-A4,BRN3,A4,BRN3-A4,NA,collected,N,NA,NA
U435,RNA,BRN3-H6,BRN3,H6,BRN3-H6,NA,collected,N,NA,NA
U436,RNA,BRN3-G6,BRN3,G6,BRN3-G6,NA,collected,N,NA,NA
U437,RNA,BRN3-F6,BRN3,F6,BRN3-F6,NA,collected,N,NA,NA
U438,RNA,BRN3-E6,BRN3,E6,BRN3-E6,NA,collected,N,NA,NA
U439,RNA,BRN3-D6,BRN3,D6,BRN3-D6,NA,collected,N,NA,NA
U440,RNA,BRN3-C6,BRN3,C6,BRN3-C6,NA,collected,N,NA,NA
U441,RNA,BRN3-G3,BRN3,G3,BRN3-G3,NA,collected,N,NA,NA
U442,RNA,BRN3-H3,BRN3,H3,BRN3-H3,NA,collected,N,NA,NA
U443,RNA,BRN3-A7,BRN3,A7,BRN3-A7,NA,collected,N,NA,NA
U444,RNA,BRN3-B7,BRN3,B7,BRN3-B7,NA,collected,N,NA,NA
U445,RNA,BRN3-C7,BRN3,C7,BRN3-C7,NA,collected,N,NA,NA
U446,RNA,BRN3-D7,BRN3,D7,BRN3-D7,NA,collected,N,NA,NA
U447,RNA,BRN3-E7,BRN3,E7,BRN3-E7,NA,collected,N,NA,NA
U448,RNA,BRN3-F7,BRN3,F7,BRN3-F7,NA,collected,N,NA,NA
U449,RNA,BRN3-G7,BRN3,G7,BRN3-G7,NA,collected,N,NA,NA
U450,RNA,BRN3-A9,BRN3,A9,BRN3-A9,NA,collected,N,NA,NA
U451,RNA,BRN3-B6,BRN3,B6,BRN3-B6,NA,collected,N,NA,NA
U452,RNA,BRN3-A6,BRN3,A6,BRN3-A6,NA,collected,N,NA,NA
U453,RNA,BRN3-H7,BRN3,H7,BRN3-H7,NA,collected,N,NA,NA
U454,RNA,BRN4-H2,BRN4,H2,BRN4-H2,NA,collected,N,NA,NA
U455,RNA,BRN4-G2,BRN4,G2,BRN4-G2,NA,collected,N,NA,NA
U456,RNA,BRN4-F2,BRN4,F2,BRN4-F2,NA,collected,N,NA,NA
U457,RNA,BRN4-E2,BRN4,E2,BRN4-E2,NA,collected,N,NA,NA
U458,RNA,BRN4-D2,BRN4,D2,BRN4-D2,NA,collected,N,NA,NA
U459,RNA,BRN4-C2,BRN4,C2,BRN4-C2,NA,collected,N,NA,NA
U460,RNA,BRN4-B2,BRN4,B2,BRN4-B2,NA,collected,N,NA,NA
U461,RNA,BRN3-B9,BRN3,B9,BRN3-B9,NA,collected,N,NA,NA
U462,RNA,BRN3-C9,BRN3,C9,BRN3-C9,NA,collected,N,NA,NA
U463,RNA,BRN3-D9,BRN3,D9,BRN3-D9,NA,collected,N,NA,NA
U464,RNA,BRN3-E9,BRN3,E9,BRN3-E9,NA,collected,N,NA,NA
U465,RNA,BRN3-F9,BRN3,F9,BRN3-F9,Brain dropped on coolbox,collected,N,NA,NA
U466,RNA,BRN3-G9,BRN3,G9,BRN3-G9,NA,collected,N,NA,NA
U467,RNA,BRN3-H9,BRN3,H9,BRN3-H9,NA,collected,N,NA,NA
U468,RNA,BRN3-A10,BRN3,A10,BRN3-A10,NA,collected,N,NA,NA
U469,RNA,BRN3-B10,BRN3,B10,BRN3-B10,NA,collected,N,NA,NA
U470,RNA,BRN3-C10,BRN3,C10,BRN3-C10,NA,collected,N,NA,NA
U471,RNA,BRN12-G5,BRN12,G5,BRN12-G5,NA,collected,N,NA,NA
U472,RNA,BRN12-H5,BRN12,H5,BRN12-H5,NA,collected,N,NA,NA
U473,RNA,BRN12-A9,BRN12,A9,BRN12-A9,NA,collected,N,NA,NA
U474,RNA,BRN12-B9,BRN12,B9,BRN12-B9,Barely any spleen to take sample from,collected,N,NA,NA
U475,RNA,BRN12-C9,BRN12,C9,BRN12-C9,NA,collected,N,NA,NA
U476,RNA,BRN12-D9,BRN12,D9,BRN12-D9,NA,collected,N,NA,NA
U477,RNA,BRN12-E9,BRN12,E9,BRN12-E9,NA,collected,N,NA,NA
U478,RNA,BRN12-F9,BRN12,F9,BRN12-F9,NA,collected,N,NA,NA
U479,RNA,BRN12-G9,BRN12,G9,BRN12-G9,NA,collected,N,NA,NA
U480,RNA,BRN12-H9,BRN12,H9,BRN12-H9,NA,collected,N,NA,NA
U481,RNA,BRN3-D10,BRN3,D10,BRN3-D10,NA,collected,N,NA,NA
U482,RNA,BRN3-E10,BRN3,E10,BRN3-E10,NA,collected,N,NA,NA
U483,RNA,BRN3-F10,BRN3,F10,BRN3-F10,NA,collected,N,NA,NA
U484,RNA,BRN3-G10,BRN3,G10,BRN3-G10,NA,collected,N,NA,NA
U485,RNA,BRN3-H10,BRN3,H10,BRN3-H10,NA,collected,N,NA,NA
U486,RNA,BRN3-A12,BRN3,A12,BRN3-A12,NA,collected,N,NA,NA
U487,RNA,BRN3-B12,BRN3,B12,BRN3-B12,NA,collected,N,NA,NA
U488,RNA,BRN3-C12,BRN3,C12,BRN3-C12,NA,collected,N,NA,NA
U489,RNA,BRN3-D12,BRN3,D12,BRN3-D12,NA,collected,N,NA,NA
U490,RNA,BRN3-F12,BRN3,F12,BRN3-F12,NA,collected,N,NA,NA
U491,RNA,BRN3-G11,BRN3,G11,BRN3-G11,NA,collected,N,NA,NA
U492,RNA,BRN3-F11,BRN3,F11,BRN3-F11,NA,collected,N,NA,NA
U493,RNA,BRN3-E11,BRN3,E11,BRN3-E11,NA,collected,N,NA,NA
U494,RNA,BRN3-D11,BRN3,D11,BRN3-D11,NA,collected,N,NA,NA
U495,RNA,BRN3-C11,BRN3,C11,BRN3-C11,NA,collected,N,NA,NA
U496,RNA,BRN3-B11,BRN3,B11,BRN3-B11,NA,collected,N,NA,NA
U497,RNA,BRN3-A11,BRN3,A11,BRN3-A11,NA,collected,N,NA,NA
U498,RNA,BRN3-A5,BRN3,A5,BRN3-A5,NA,collected,N,NA,NA
U499,RNA,BRN3-E12,BRN3,E12,BRN3-E12,NA,collected,N,NA,NA
U500,RNA,BRN4-H1,BRN4,H1,BRN4-H1,NA,collected,N,NA,NA
U501,RNA,BRN4-G1,BRN4,G1,BRN4-G1,NA,collected,N,NA,NA
U502,RNA,BRN4-F1,BRN4,F1,BRN4-F1,NA,collected,N,NA,NA
U503,RNA,BRN4-E1,BRN4,E1,BRN4-E1,NA,collected,N,NA,NA
U504,RNA,BRN4-D1,BRN4,D1,BRN4-D1,NA,collected,N,NA,NA
U505,RNA,BRN4-C1,BRN4,C1,BRN4-C1,NA,collected,N,NA,NA
U506,RNA,BRN4-B1,BRN4,B1,BRN4-B1,NA,collected,N,NA,NA
U507,RNA,BRN4-A1,BRN4,A1,BRN4-A1,NA,collected,N,NA,NA
U508,RNA,BRN4-H4,BRN4,H4,BRN4-H4,NA,collected,N,NA,NA
U509,RNA,BRN4-G4,BRN4,G4,BRN4-G4,NA,collected,N,NA,NA
U510,RNA,BRN4-F4,BRN4,F4,BRN4-F4,NA,collected,N,NA,NA
