ufn,semsp_id,date_processed,cwt,adipose,weight,standard_length,fork_length,photo_number,comments_protocol,comments_fish_health_lab,dissector,dissection_protocol,fish_lab_qc_data,fish_lab_qc_flag,fish_lab_flag_reason,fish_lab_qc_log
U43,2015-05-21-J06-SO-2,2015-09-16,none,none,10.5,NA,95,NA,From thawed JS fish,Lots of scales missing,DS,work-up excluding cold samples,KI,N,NA,NA
U18,2015-05-21-J06-CU-10,2015-09-17,none,none,9.9,NA,96,NA,From thawed JS fish,"external bleeding on head, brain hemmorraged",LP,work-up excluding cold samples,KI,N,NA,NA
U26,2015-05-23-J10-SO-27,2015-09-17,none,none,13.7,NA,106,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,KI,N,NA,NA
U27,2015-05-23-J10-SO-24,2015-09-17,none,none,12.7,NA,108,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,KI,N,NA,NA
U37,2015-05-23-J10-SO-18,2015-09-17,none,none,10.4,NA,95,NA,From thawed JS fish,Was missing most scales when it came out of the bag,KI,work-up excluding cold samples,DS,N,NA,NA
U38,2015-05-23-J10-SO-30,2015-09-17,none,none,12.2,NA,108,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,KI,N,NA,NA
U44,2015-05-21-J06-CU-06,2015-09-17,none,none,12.7,NA,100,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,LP,Y,Duplicate SEMSP ID (not a transcription error).,"UFN not written on tag during this period, so cannot verify"
U45,2015-05-23-J10-SO-20,2015-09-17,none,none,14,NA,118,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,KI,N,NA,NA
U46,2015-05-23-J10-SO-29,2015-09-17,none,none,14.4,NA,110,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,KI,N,NA,NA
U19,2015-05-23-J10-SO-17,2015-09-18,none,none,9.8,NA,98,NA,From thawed JS fish,"Both lobes of the tail disconected from on removal from bag, 1 louse was too dry to remove from tray it was a cal chal b.",LP,work-up excluding cold samples,CK,N,NA,NA
U28,2015-05-23-J10-SO-19,2015-09-18,none,none,11.4,NA,104,NA,"From thawed JS fish. 3 copes, 1 chal a 1 chal b not removed before dissection on pelvic region due to melting",NA,KI,work-up excluding cold samples,DS,N,NA,NA
U29,2015-05-23-J10-SO-28,2015-09-18,none,none,11.5,NA,100,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,CK,N,NA,NA
U30,2015-05-23-J10-SO-23,2015-09-18,none,none,12.2,NA,106,NA,From thawed JS fish.,1 otolith,KI,work-up excluding cold samples,DS,N,NA,NA
U39,2015-05-23-J10-SO-06,2015-09-18,none,none,9.8,NA,97,NA,From thawed JS fish. Fish had caudal lobes broken off so FL is estimate,NA,CK,work-up excluding cold samples,KI,Y,Duplicate SEMSP ID (not a transcription error).,"UFN not written on tag during this period, so cannot verify"
U40,2015-05-23-J10-SO-25,2015-09-18,none,none,13.7,NA,106,NA,From thawed JS fish. 1 cal cop not retained,NA,CK,work-up excluding cold samples,KI,N,NA,NA
U47,2015-05-23-J10-SO-26,2015-09-18,none,none,13.4,NA,107,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,KI,N,NA,NA
U48,2015-05-23-J10-SO-22,2015-09-18,none,none,10.9,NA,103,NA,From thawed JS fish,"Big pred scar on left flank, missing scales",DS,work-up excluding cold samples,KI,N,NA,NA
U49,2015-05-23-J09-SO-22,2015-09-18,none,none,13.5,NA,109,NA,From thawed JS fish,NA,DS,work-up excluding cold samples,KI,N,NA,NA
U50,2015-05-23-J09-SO-26,2015-09-18,none,none,13.9,NA,114,NA,"From thawed JS fish. 1 unidentified chal b unretained, 1 female cal chal b mangled",NA,DS,work-up excluding cold samples,LP,N,NA,NA
U51,2015-05-23-J10-SO-21,2015-09-18,none,none,12.2,NA,104,NA,From thawed JS fish,NA,CK,work-up excluding cold samples,KI,N,NA,NA
U52,2015-05-23-J09-SO-18,2015-09-18,none,none,18.1,NA,121,NA,From thawed JS fish.,1 otolith,CK,work-up excluding cold samples,KI,N,NA,NA
U61,2015-05-23-J09-SO-17,2015-09-18,none,none,12.8,NA,108,NA,From thawed JS fish. 2 louse destroyed in vial,NA,KI,work-up excluding cold samples,DS,N,NA,NA
U62,2015-05-23-J09-SO-23,2015-09-18,none,none,20.2,NA,123,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,DS,N,NA,NA
U53,2015-05-23-J09-SO-19,2015-09-21,none,none,20.7,NA,125,NA,From thawed JS fish,"Kidneys very pale pink, caudal fin broken",CK,work-up excluding cold samples,KI,N,NA,NA
U54,2015-05-23-J09-SO-28,2015-09-21,none,none,15,NA,110,NA,From thawed JS fish. Sample beginning to get soft when RNA taken,NA,CK,work-up excluding cold samples,KI,N,NA,NA
U63,2015-05-23-J09-SO-29,2015-09-21,none,none,15.6,NA,110,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,KI,N,NA,NA
U71,2015-05-23-J09-SO-24,2015-09-21,none,none,13.6,NA,110,NA,"From thawed JS fish. 1 caligus cope didn't see it get into vial, but it was no longer on forceps.",NA,DS,work-up excluding cold samples,KI,N,NA,NA
U72,2015-05-23-J09-SO-20,2015-09-21,none,none,12,NA,103,NA,"From thawed JS fish. 1 caligus cope not retained, lunials found in the bag (from louse already collected?)",NA,DS,work-up excluding cold samples,KI,N,NA,NA
U73,2015-05-23-J09-SO-27,2015-09-21,none,none,12.3,NA,113,NA,From thawed JS fish,1 chal b caligus,DS,work-up excluding cold samples,KI,N,NA,NA
U101,2015-05-23-J03-SO-23,2015-09-22,none,none,12.6,NA,113,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U102,2015-05-23-J03-SO-21,2015-09-22,none,none,12,NA,104,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U103,2015-05-22-J08-SO-13,2015-09-22,none,none,15.4,NA,112,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U20,2015-05-23-J03-SO-27,2015-09-22,none,none,15.7,NA,118,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U55,2015-05-22-J08-SO-7,2015-09-22,none,none,7.5,NA,89,NA,"From JS thawed fish, experimental data set.",1 otolith,KI,work-up excluding cold samples,KI,N,NA,NA
U56,2015-05-22-J08-SO-8,2015-09-22,none,none,9.3,NA,93,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U57,2015-05-23-J03-SO-20,2015-09-22,none,none,13.1,NA,113,NA,"From JS thawed fish, experimental data set. 1 squished adult, unk. species",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U58,2015-05-22-J08-SO-26,2015-09-22,none,none,10.4,NA,96,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U60,2015-05-23-J03-SO-25,2015-09-22,none,none,14,NA,113,NA,"From JS thawed fish, experimental data set",White nematode ~2 cm long in gut region,KI,work-up excluding cold samples,KI,N,NA,NA
U64,2015-05-22-J08-SO-3,2015-09-22,none,none,23.4,NA,140,NA,"From JS thawed fish, experimental data set. Isotopes: too mushy to get a sample","1 adult caligus cut in half, white cysts on stomach anterior to spleen",KI,work-up excluding cold samples,KI,N,NA,NA
U65,2015-05-22-J08-SO-4,2015-09-22,none,none,15.4,NA,112,NA,"From JS thawed fish, experimental data set. No scales taken.","No scales present, 1 otolith",KI,work-up excluding cold samples,KI,N,NA,NA
U66,2015-05-22-J08-SO-2,2015-09-22,none,none,8.1,NA,107,NA,"From JS thawed fish, experimental data set",1 otolith,KI,work-up excluding cold samples,KI,N,NA,NA
U74,2015-05-22-J08-SO-6,2015-09-22,none,none,8.3,NA,96,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U75,2015-05-22-J08-SO-1,2015-09-22,none,none,10,NA,96,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U59,2015-05-22-J08-SO-9,2015-09-23,none,none,7.1,NA,88,NA,"From JS thawed fish, experimental data set. One louse on dorsal fin damaged put into vial, likely chal b stage",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U67(1),2015-05-23-J03-SO-28,2015-09-23,none,none,13.3,NA,111,NA,From thawed JS fish; experimental data set,NA,KI,work-up excluding cold samples,KI,Y,Duplicate UFN.,"UFN not written on tag during this period, so cannot verify"
U68,2015-05-22-J08-SO-5,2015-09-23,none,none,7.2,NA,93,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U69,2015-05-23-J03-SO-19,2015-09-23,none,none,11.2,NA,102,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U70,2015-05-22-J08-SO-27,2015-09-23,none,none,13.9,NA,108,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U76,2015-05-23-J03-SO-29,2015-09-23,none,none,12.5,NA,108,NA,"From JS thawed fish, experimental data set. 1 cal copepod mangled, not retained",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U77,2015-05-22-J08-SO-10,2015-09-23,none,none,7,NA,86,NA,"From JS thawed fish, experimental data set","1 otolith retained, 1 louse found on outside of bag",KI,work-up excluding cold samples,KI,N,NA,NA
U78,2015-05-23-J03-SO-17,2015-09-23,none,none,15.9,NA,118,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U79,2015-05-22-J08-SO-30,2015-09-23,none,none,14.9,NA,110,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U80,2015-05-22-J08-SO-11,2015-09-23,none,none,15.1,NA,110,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U81,2015-05-23-J03-SO-16,2015-09-23,none,none,13.6,NA,111,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U91,2015-05-22-J08-SO-28,2015-09-23,none,none,13.4,NA,110,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U92,2015-05-22-J08-SO-29,2015-09-23,none,none,11.5,NA,102,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U82,2015-05-23-J03-SO-22,2015-09-24,none,none,12.7,NA,102,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U83,2015-05-22-J08-SO-12,2015-09-24,none,none,12.7,NA,106,NA,"From JS thawed fish, experimental data set. 1 chal. a destroyed but retained",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U84,2015-05-23-J03-SO-24,2015-09-24,none,none,10.7,NA,100,NA,"From JS thawed fish, experimental data set. 1 cal. cap. disintigrated",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U85,2015-05-22-J08-SO-16,2015-09-24,none,none,16.9,NA,119,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U93,2015-05-22-J08-SO-24,2015-09-24,none,none,11.6,NA,100,NA,"From JS thawed fish, experimental data set. Tissues too liquid to take DNA",Tissues too liquid to take DNA,KI,work-up excluding cold samples,KI,N,NA,NA
U94,2015-05-22-J08-SO-21,2015-09-24,none,none,10.6,NA,100,NA,"From JS thawed fish, experimental data set. Organs too mushy to take DNA",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U95,2015-05-22-J08-SO-17,2015-09-24,none,none,11.6,NA,100,NA,"From JS thawed fish, experimental data set. No DNA or isotopes, tissues liquid","Hemorraged anal fin, 1 otolith",KI,work-up excluding cold samples,KI,N,NA,NA
U96,2015-05-22-J08-SO-18,2015-09-24,none,none,12.5,NA,99,NA,"From JS thawed fish, experimental data set",1 otolith,KI,work-up excluding cold samples,KI,N,NA,NA
U97,2015-05-23-J03-SO-30,2015-09-24,none,none,12.2,NA,102,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,CK,N,NA,NA
U98,2015-05-23-J03-SO-26,2015-09-24,none,none,7.7,NA,93,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U111,2015-05-22-J08-SO-20,2015-09-25,none,none,10.9,NA,106,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U112,2015-05-23-J03-SO-12,2015-09-25,none,none,10.4,NA,102,NA,"From JS thawed fish, experimental data set. 1 mangled cal chal b retained",1 mangled cal chal b retained,KI,work-up excluding cold samples,KI,N,NA,NA
U86,2015-05-23-J03-SO-18,2015-09-25,none,none,10.1,NA,104,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U87,2015-05-22-J08-SO-25,2015-09-25,none,none,15.1,NA,115,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U88,2015-05-23-J03-SO-3,2015-09-25,none,none,13.6,NA,112,NA,"From JS thawed fish, experimental data set. Half of a calanus motile retained",Half of a calanus motile retained,KI,work-up excluding cold samples,KI,N,NA,NA
U89,2015-05-22-J08-SO-14,2015-09-25,none,none,14.1,NA,109,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U90,2015-05-23-J03-SO-4,2015-09-25,none,none,11.9,NA,109,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U104,2015-05-23-J03-SO-10,2015-09-28,none,none,10.2,NA,108,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U105,2015-05-23-J03-SO-6,2015-09-28,none,none,13.4,NA,113,NA,"From JS thawed fish, experimental data set",1 otolith,KI,work-up excluding cold samples,KI,N,NA,NA
U106,2015-05-22-J08-SO-22,2015-09-28,none,none,11.2,NA,103,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U107,2015-05-23-J03-SO-11,2015-09-28,none,none,13.5,NA,119,NA,"From JS thawed fish, experimental data set. Unknown sp. found (maybe small crab larvae?) put in vial labelled ""u107""",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U108,2015-05-23-J03-SO-9,2015-09-28,none,none,12.9,NA,106,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U113,2015-05-23-J03-SO-1,2015-09-28,none,none,12.4,NA,109,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U114,2015-05-23-J03-SO-2,2015-09-28,none,none,12.9,NA,108,NA,"From JS thawed fish, experimental data set. 1 chal a cal not retained",1 chal a cal not retained,KI,work-up excluding cold samples,KI,N,NA,NA
U115,2015-05-22-J08-SO-15,2015-09-28,none,none,12.3,NA,107,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U116,2015-05-23-J03-SO-14,2015-09-28,none,none,13.8,NA,115,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U121,2015-05-22-J08-SO-23,2015-09-28,none,none,11.1,NA,109,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U122,2015-05-22-J08-SO-19,2015-09-28,none,none,9.1,NA,97,NA,"From JS thawed fish, experimental data set",Only 1 otolith found,KI,work-up excluding cold samples,KI,N,NA,NA
U123,2015-05-23-J03-SO-7,2015-09-28,none,none,14,NA,115,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U109,2015-05-23-J03-SO-15,2015-09-29,none,none,10.8,NA,104,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U117,2015-05-23-J03-SO-13,2015-09-29,none,none,10.4,NA,103,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U118,2015-05-23-J03-SO-8,2015-09-29,none,none,12.9,NA,102,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U124,2015-05-23-J03-SO-5,2015-09-29,none,none,10.6,NA,103,NA,"From JS thawed fish, experimental data set",NA,KI,work-up excluding cold samples,KI,N,NA,NA
U100,2015-05-23-J09-SO-13,2015-10-05,none,none,15.9,NA,115,NA,From thawed JS fish,NA,KI,work-up excluding cold samples,LP,N,NA,NA
U110,2015-05-22-J08-CU-3,2015-10-05,none,none,10.8,NA,103,NA,"From thawed JS fish. Dropped louse vial, but nothing appeared to have come out.",NA,CK,work-up excluding cold samples,LP,N,NA,NA
U119,2015-05-23-J09-SO-14,2015-10-05,none,none,15,NA,113,NA,From JS thawed fish,1 unidentified organism,DS,work-up excluding cold samples,LP,N,NA,NA
U99,2015-05-15-D05-SO-14,2015-10-05,none,none,7.3,NA,88,NA,RNA taken,NA,KI,irregular work-up,LP,N,NA,NA
U120,2015-05-23-J09-SO-5,2015-10-06,none,none,16.9,NA,122,NA,From JS thawed fish,NA,DS,work-up excluding cold samples,LP,N,NA,NA
U141,2015-05-23-J09-SO-15,2015-10-06,none,none,13.7,NA,114,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,LP,N,NA,NA
U142,2015-05-23-J09-SO-12,2015-10-06,none,none,14.6,NA,116,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,LP,N,NA,NA
U143,2015-05-23-J09-SO-8,2015-10-06,none,none,15.1,NA,113,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,LP,N,NA,NA
U144,2015-05-23-J09-SO-1,2015-10-06,none,none,14.8,NA,115,NA,From JS thawed fish. 1 cal cop not retained,1 cal cop not retained,KI,work-up excluding cold samples,LP,N,NA,NA
U151,2015-05-23-J09-SO-6,2015-10-06,none,none,14.8,NA,116,NA,From JS thawed fish,NA,DS,work-up excluding cold samples,LP,N,NA,NA
U152,2015-05-23-J09-SO-11,2015-10-06,none,none,21,NA,127,NA,From JS thawed fish,NA,DS,work-up excluding cold samples,LP,N,NA,NA
U153,2015-05-23-J09-SO-2,2015-10-06,none,none,14.9,NA,115,NA,From JS thawed fish,NA,DS,work-up excluding cold samples,LP,N,NA,NA
U125,2015-05-23-J09-SO-10,2015-10-07,none,none,12,NA,104,NA,From JS thawed fish,NA,LP,work-up excluding cold samples,CK,N,NA,NA
U131,2015-05-22-J08-CU-1,2015-10-07,none,none,20.3,NA,NA,NA,From JS thawed fish,"Fork length approximately 115, missing caudal fin",CK,work-up excluding cold samples,CK,N,NA,NA
U132,2015-05-22-J08-CO-7,2015-10-07,none,none,12.3,NA,97,NA,From JS thawed fish,NA,CK,work-up excluding cold samples,CK,N,NA,NA
U145,2015-05-23-J09-SO-3,2015-10-07,none,none,14.5,NA,109,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,CK,N,NA,NA
U146,2015-05-23-J09-SO-9,2015-10-07,none,none,13.2,NA,105,NA,From JS thawed fish,Pale liver,KI,work-up excluding cold samples,CK,N,NA,NA
U147,2015-05-22-J08-CO-9,2015-10-07,none,none,18.7,NA,123,NA,From JS thawed fish,1 otolith,KI,work-up excluding cold samples,CK,N,NA,NA
U148,2015-05-22-J08-CO-5,2015-10-07,none,none,16.9,NA,110,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,CK,N,NA,NA
U149,2015-05-22-J08-CO-10,2015-10-07,none,none,13.2,NA,110,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,CK,N,NA,NA
U150,2015-05-22-J08-CO-6,2015-10-07,none,none,12.2,NA,99,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,CK,N,NA,NA
U154,2015-05-23-J09-SO-7,2015-10-07,none,none,12.8,NA,105,NA,From JS thawed fish. 1 mangled caligus chal b not retained,1 mangled caligus chal b not retained,DS,work-up excluding cold samples,CK,N,NA,NA
U155,2015-05-23-J09-SO-4,2015-10-07,none,none,14.4,NA,110,NA,From JS thawed fish,"1 cal cope half found on flank, possible other 1/2 in vial",DS,work-up excluding cold samples,CK,N,NA,NA
U156,2015-05-22-J07-SO-16,2015-10-07,none,none,11.2,NA,110,NA,From JS thawed fish,NA,DS,work-up excluding cold samples,CK,N,NA,NA
U157,2015-05-22-J08-CO-8,2015-10-07,none,none,17.9,NA,115,NA,From JS thawed fish,NA,DS,work-up excluding cold samples,CK,N,NA,NA
U158,2015-05-22-J07-SO-23,2015-10-07,none,none,12.2,NA,116,NA,From JS thawed fish. 1 caligus cope not retained,1 caligus cope not retained,DS,work-up excluding cold samples,CK,N,NA,NA
U133,2015-05-22-J07-SO-28,2015-10-08,none,none,11.5,NA,105,NA,From JS thawed fish,NA,CK,work-up excluding cold samples,DS,N,NA,NA
U134,2015-05-22-J07-SO-17,2015-10-08,none,none,12.2,NA,104,NA,From JS thawed fish,NA,CK,work-up excluding cold samples,DS,N,NA,NA
U135,2015-05-22-J07-SO-19,2015-10-08,none,none,11.3,NA,115,NA,From JS thawed fish,NA,CK,work-up excluding cold samples,DS,N,NA,NA
U136,2015-05-22-J07-SO-26,2015-10-08,none,none,9.8,NA,98,NA,From JS thawed fish,NA,CK,work-up excluding cold samples,DS,N,NA,NA
U137,2015-05-22-J07-SO-24,2015-10-08,none,none,9.3,NA,93,NA,From JS thawed fish,NA,CK,work-up excluding cold samples,DS,N,NA,NA
U138,2015-05-22-J07-SO-18,2015-10-08,none,none,11.2,NA,100,NA,From JS thawed fish,NA,CK,work-up excluding cold samples,DS,N,NA,NA
U159,2015-05-22-J07-SO-30,2015-10-08,none,none,11.2,NA,104,NA,From JS thawed fish,Sample missing most of scales,DS,work-up excluding cold samples,KI,N,NA,NA
U160,2015-05-22-J07-SO-20,2015-10-08,none,none,12.8,NA,107,NA,From JS thawed fish,Sample missing most of scales,DS,work-up excluding cold samples,KI,N,NA,NA
U161,2015-05-22-J07-SO-21,2015-10-08,none,none,12.6,NA,105,NA,From JS thawed fish,"1 otolith, 2 nematodes",KI,work-up excluding cold samples,DS,N,NA,NA
U162,2015-05-22-J07-SO-22,2015-10-08,none,none,13.5,NA,111,NA,From JS thawed fish,NA,KI,work-up excluding cold samples,DS,N,NA,NA
