semsp_id,ufn,seine_id,species,package_id,fish_time_out,fish_time_dewar,fork_length_field,height_field,weight_field,analysis_planned,dissection_status,lice_qc_flag,qc_comments,date_processed,cwt,ad,weight,standard_length,fork_length,photo_number,comments_protocol,comments_fish_health_lab,dissection_protocol,lice_collection_protocol,lice_id_protocol,dissector,fish_lab_qc_data,fish_lab_qc_flag,fish_lab_flag_reason,fish_lab_qc_log
2015-05-12-D01-SO-13,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-14,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-15,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-16,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-17,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-18,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-19,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-20,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-21,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-22,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-23,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-24,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-25,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-26,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-27,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-28,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-29,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-SO-30,NA,DE100N3,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-CU-1,NA,DE100N3,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-CU-2,NA,DE100N3,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-CU-3,NA,DE100N3,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-CU-4,NA,DE100N3,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-CU-5,NA,DE100N3,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-CU-6,NA,DE100N3,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-CU-7,NA,DE100N3,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-CU-8,NA,DE100N3,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-CU-9,NA,DE100N3,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-CU-10,NA,DE100N3,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-CO-1,NA,DE100N3,CO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-HE-1,NA,DE100N3,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-12-D01-HE-2,NA,DE100N3,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-1,U418,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-05,none,present,12.9,NA,98,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,DS,DS,N,NA,NA
2015-05-13-D02-SO-2,U419,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-06,none,present,12.5,NA,97,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,DS,LP,N,NA,NA
2015-05-13-D02-SO-3,U322,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-06,none,present,9.8,NA,95,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,LP,LP,N,NA,NA
2015-05-13-D02-SO-4,U420,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-06,none,present,13.2,NA,96,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,DS,LP,N,NA,NA
2015-05-13-D02-SO-5,U426,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-05,none,present,11.8,NA,93,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,CK,DS,N,NA,NA
2015-05-13-D02-SO-6,U324,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-06,none,present,12.8,NA,105,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,LP,LP,N,NA,NA
2015-05-13-D02-SO-7,U431,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-06,none,present,10.9,NA,92,NA,1 caligus chal a in half retained.,NA,full work-up 1,lab_fine_2015,lportner_fine,DS,LP,N,NA,NA
2015-05-13-D02-SO-8,U323,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-06,none,present,11.4,NA,103,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,LP,LP,N,NA,NA
2015-05-13-D02-SO-9,U417,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-05,none,present,13,NA,101,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,DS,DS,N,NA,NA
2015-05-13-D02-SO-10,U425,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-05,none,present,13.4,NA,101,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,CK,DS,N,NA,NA
2015-05-13-D02-SO-11,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-12,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-13,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-14,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-15,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-16,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-17,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-18,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-19,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-20,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-21,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-22,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-23,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-24,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-25,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-26,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-27,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-28,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-29,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-SO-30,NA,DE101N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-CU-1,NA,DE101N1,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-CU-2,NA,DE101N1,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-CU-3,NA,DE101N1,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-CU-4,NA,DE101N1,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-CU-5,NA,DE101N1,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-CU-6,NA,DE101N1,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-CU-7,NA,DE101N1,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-CU-8,NA,DE101N1,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-CU-9,NA,DE101N1,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-13-D02-CU-10,NA,DE101N1,CU,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-1,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-2,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-3,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-4,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-5,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-6,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-7,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-8,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-9,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-10,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-11,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-12,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-13,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-14,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-15,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-16,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-17,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-18,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-19,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-20,NA,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-SO-21,U386,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-03,none,present,25.3,NA,126,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,DS,CK,N,NA,NA
2015-05-14-D04-SO-22,U385,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-03,none,present,16.2,NA,99,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,DS,CK,N,NA,NA
2015-05-14-D04-SO-23,U392,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-03,none,present,22.8,NA,121,NA,No otoliths,NA,full work-up 1,lab_fine_2015,lportner_fine,CK,CK,N,NA,NA
2015-05-14-D04-SO-24,U395,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-04,none,present,16.8,NA,115,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,CK,CK,N,NA,NA
2015-05-14-D04-SO-25,U388,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-04,none,present,18.7,NA,104,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,DS,CK,N,NA,NA
2015-05-14-D04-SO-26,U384,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-03,none,present,14.6,NA,103,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,DS,CK,N,NA,NA
2015-05-14-D04-SO-27,U389,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-04,none,present,15.2,NA,103,NA,"Small head kidney sample, 1 otolith",NA,full work-up 1,lab_fine_2015,lportner_fine,DS,CK,N,NA,NA
2015-05-14-D04-SO-28,U387,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-04,none,present,14.5,NA,107,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,DS,CK,N,NA,NA
2015-05-14-D04-SO-29,U393,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-03,none,present,16.8,NA,115,NA,No otoliths,NA,full work-up 1,lab_fine_2015,lportner_fine,CK,CK,N,NA,NA
2015-05-14-D04-SO-30,U391,DE102N1,SO,NA,NA,NA,NA,NA,NA,SEMSP,dissected,N,NA,2015-11-03,none,present,21.8,NA,123,NA,NA,NA,full work-up 1,lab_fine_2015,lportner_fine,CK,CK,N,NA,NA
2015-05-14-D04-HE-1,NA,DE102N1,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-HE-2,NA,DE102N1,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-HE-3,NA,DE102N1,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-05-14-D04-HE-4,NA,DE102N1,HE,NA,NA,NA,NA,NA,NA,SEMSP,not dissected,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
