container_id,container_type,storage_medium,date_updated,current_location,storage_unit,storage_tier_1,storage_tier_2,shipping_container,date_shipped,shipping_destination,recipient,date_received,expecting_return,date_returned,comments,container_num
BCA69,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,69
BCA70,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,70
BCA71,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,71
BCA72,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,72
BCA73,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,73
BCA74,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,74
BCA75,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,75
BCA76,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,76
BCA77,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 6,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,77
BCA1,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,1
BCA19,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,19
BCA2,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,2
BCA20,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,20
BCA21,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,21
BCA22,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,22
BCA23,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,23
BCA24,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,24
BCA3,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,3
BCA4,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,4
BCA46,carcass,frozen -20,2017-09-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2017-09-05,UBC Hunt Lab,NA,2017-09-05,NA,NA,NA,46
BCA47,carcass,frozen -20,2017-09-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2017-09-05,UBC Hunt Lab,NA,2017-09-05,NA,NA,NA,47
BCA49,carcass,frozen -20,2017-09-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2017-09-05,UBC Hunt Lab,NA,2017-09-05,NA,NA,NA,49
BCA5,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,5
BCA50,carcass,frozen -20,2017-09-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2017-09-05,UBC Hunt Lab,NA,2017-09-05,NA,NA,NA,50
BCA51,carcass,frozen -20,2017-09-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2017-09-05,UBC Hunt Lab,NA,2017-09-05,NA,NA,NA,51
BCA52,carcass,frozen -20,2017-09-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2017-09-05,UBC Hunt Lab,NA,2017-09-05,NA,NA,NA,52
BCA53,carcass,frozen -20,2017-09-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2017-09-05,UBC Hunt Lab,NA,2017-09-05,NA,NA,Carcass bag doesn't exist in sample metadata (but bag is physically present),53
BCA54,carcass,frozen -20,2017-09-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2017-09-05,UBC Hunt Lab,NA,2017-09-05,NA,NA,Carcass bag doesn't exist in sample metadata (but bag is physically present),54
BCA55,carcass,frozen -20,2017-09-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2017-09-05,UBC Hunt Lab,NA,2017-09-05,NA,NA,Carcass bag doesn't exist in sample metadata (but bag is physically present),55
BCA7,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,7
BCA78,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,78
BCA79,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,79
BCA80,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,80
BCA81,carcass,frozen -20,2017-12-05,UBC Hunt Lab,-20 Freezer B1019,Carcass Group Box 7,NA,NA,2017-12-05,UBC Hunt Lab,NA,2017-12-05,NA,NA,NA,81
BCA10,carcass,frozen -20,2016-10-28,UBC Hunt Lab,-20 Freezer B1019,MISSING,MISSING,NA,2016-10-28,UBC Hunt Lab,NA,2016-10-28,NA,NA,NA,10
BCA21A,carcass,frozen -20,NA,UBC Hunt Lab,-20 Freezer B1019,MISSING,MISSING,NA,NA,NA,NA,NA,NA,NA,Fish dissected 2015 to 2016-02-24,21
BCA27,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,MISSING,MISSING,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,27
BCA29,carcass,frozen -20,2016-03-22,UBC Hunt Lab,-20 Freezer B1019,MISSING,MISSING,NA,2016-03-22,UBC Hunt Lab,NA,2016-03-22,NA,NA,NA,29
BCA92,carcass,frozen -20,2018-03-23,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,92
BCA93,carcass,frozen -20,2018-03-23,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,93
BCA94,carcass,frozen -20,2018-03-23,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,94
BCA95,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,95
BCA96,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 4,NA,NA,NA,NA,NA,NA,NA,NA,LP Returned 2018-04-16,96
BCA97,carcass,frozen -20,2018-08-21,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,97
BCA98,carcass,frozen -20,2018-10-09,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 4,NA,NA,NA,NA,NA,#N/A,NA,NA,NA,98
BCA40,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
BCA41,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
BCA42,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
BCA43,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
BCA44,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
BCA45,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
BCA82,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,82
BCA83,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
BCA84,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,84
BCA85,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
BCA86,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,86
BCA87,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,87
BCA88,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,88
BCA89,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,89
BCA90,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,90
BCA91,carcass,frozen -20,NA,Hakai Quadra Prep Lab,-20 Freezer 4,Shelf 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
BDNSO10,DNA,95% non-denatured ethanol,NA,Pacific Biological Station,NA,NA,NA,NA,2016-09-30,Pacific Biological Station,NA,NA,NA,NA,subsampled,10
BDNSO11,DNA,95% non-denatured ethanol,NA,Pacific Biological Station,NA,NA,NA,NA,2016-09-30,Pacific Biological Station,NA,NA,NA,NA,subsampled,11
BDNSO12,DNA,95% non-denatured ethanol,NA,Pacific Biological Station,NA,NA,NA,NA,2016-09-30,Pacific Biological Station,NA,NA,NA,NA,subsampled,12
BDNSO13,DNA,95% non-denatured ethanol,NA,Pacific Biological Station,NA,NA,NA,NA,2016-09-30,Pacific Biological Station,NA,NA,NA,NA,subsampled,13
BDNSO14,DNA,95% non-denatured ethanol,NA,Pacific Biological Station,NA,NA,NA,NA,2016-09-30,Pacific Biological Station,NA,NA,NA,NA,subsampled,14
BDNSO16,DNA,95% non-denatured ethanol,NA,Pacific Biological Station,NA,NA,NA,NA,2016-09-30,Pacific Biological Station,NA,NA,NA,NA,Shipping box containing subsamples from BDNSO3-14,16
BDNSO3,DNA,95% non-denatured ethanol,NA,Pacific Biological Station,NA,NA,NA,NA,2016-09-30,Pacific Biological Station,NA,NA,NA,NA,subsampled,3
BDNSO4,DNA,95% non-denatured ethanol,NA,Pacific Biological Station,NA,NA,NA,NA,2016-09-30,Pacific Biological Station,NA,NA,NA,NA,subsampled,4
BDNSO5,DNA,95% non-denatured ethanol,NA,Pacific Biological Station,NA,NA,NA,NA,2016-09-30,Pacific Biological Station,NA,NA,NA,NA,subsampled,5
BDNSO6,DNA,95% non-denatured ethanol,NA,Pacific Biological Station,NA,NA,NA,NA,2016-09-30,Pacific Biological Station,NA,NA,NA,NA,subsampled,6
BDNSO7,DNA,95% non-denatured ethanol,NA,Pacific Biological Station,NA,NA,NA,NA,2016-09-30,Pacific Biological Station,NA,NA,NA,NA,subsampled,7
BDNSO8,DNA,95% non-denatured ethanol,NA,Pacific Biological Station,NA,NA,NA,NA,2016-09-30,Pacific Biological Station,NA,NA,NA,NA,subsampled,8
BDNSO9,DNA,95% non-denatured ethanol,NA,Pacific Biological Station,NA,NA,NA,NA,2016-09-30,Pacific Biological Station,NA,NA,NA,NA,subsampled,9
BDN1,DNA,95% non-denatured ethanol,2018-03-23,Hakai Quadra Prep Lab,Back End Shelving Unit,Shelf I,Tray 6-2,NA,NA,NA,NA,NA,NA,NA,NA,1
BDNCO1,DNA,95% non-denatured ethanol,NA,Hakai Quadra Prep Lab,Back End Shelving Unit,Shelf I,Tray 3-4,NA,NA,NA,NA,NA,NA,NA,NA,1
BDNCO3,DNA,95% non-denatured ethanol,NA,Hakai Quadra Prep Lab,Back End Shelving Unit,Shelf I,Tray 6-1,NA,NA,NA,NA,NA,NA,NA,NA,3
BDNCO4,DNA,95% non-denatured ethanol,NA,Hakai Quadra Prep Lab,Back End Shelving Unit,Shelf I,Tray 3-4,NA,NA,NA,NA,NA,NA,NA,NA,4
BDNCU1,DNA,95% non-denatured ethanol,NA,Hakai Quadra Prep Lab,Back End Shelving Unit,Shelf I,Tray 3-2,NA,NA,NA,NA,NA,NA,NA,NA,1
BDNCU2,DNA,95% non-denatured ethanol,NA,Hakai Quadra Prep Lab,Back End Shelving Unit,Shelf I,Tray 3-2,NA,NA,NA,NA,NA,NA,NA,NA,2
BDNCU3,DNA,95% non-denatured ethanol,NA,Hakai Quadra Prep Lab,Back End Shelving Unit,Shelf I,Tray 3-2,NA,NA,NA,NA,NA,NA,NA,NA,3
BDNCU4,DNA,95% non-denatured ethanol,NA,Hakai Quadra Prep Lab,Back End Shelving Unit,Shelf I,Tray 3-3,NA,NA,NA,NA,NA,NA,NA,NA,4
BDNCU5,DNA,95% non-denatured ethanol,NA,Hakai Quadra Prep Lab,Back End Shelving Unit,Shelf I,Tray 3-3,NA,NA,NA,NA,NA,NA,NA,NA,5
